Item,Sentence
85235:65,"so it 's kind of hard for me to tell what  would happen if i lived in some of the valleys inland,"
71287:32,"at least what i read , is that some younger people feel that education is priced  out of their, uh, out of their, uh, budget."
23017:54,"but i guess once you get ill, then, you know, you really have some problems if you can't get around and do things."
5480:20,"but, uh, i know some people at t i,"
39130:54,so. i think it  would be nice to just go out and pick some tomatoes off the porch.
59895:11,"he had some cocaine and th-, it was accused  of selling it,"
152021:55,"and uh, our benefits package isn't, uh, isn't quite as good in some ways. uh, you know,"
32957:13,"we've got some beets,"
149373:69,"you know, i saw something  on c n n or on cable here a while ago that  showed some people that  had rabbits in apartments and in houses,"
132402:20,"well, i know, some people go during lunch,"
13347:160,"well, it seems that there's some things like the, uh, the programs at least just go around and, and, and clean up streets and, and, and pick up trash and even aluminum cans and some of these kinds of things."
74568:22,"and then let them try some innovative things and see what  works. and then, uh, have some sort of mechanism for passing that knowledge along to other teachers who  could benefit from the same sorts of things. and then from the parents' side, have the parents support the school. get involved."
169714:12,and it was some malaria medication
96743:132,"and, uh, uh, i guess my, i, uh, the one, my one bad thing is that i am, that i wish my mother had had some of those opportunities, because, i think she would have really, she rea-, would have succeeded in a lot of ways, that men, that women were not able  to succeed , in her, generation."
158188:98,"it's like they're saying well on the one hand they're not, he's not getting a jury of his peers which  is in some ways i think  true."
76326:14,"i did get some material and studied every bit of material that i could study ,"
175399:7,"even some of the immediate things that i need  to know , i don't know it until the next hour"
32977:37,"it takes a, yeah, it does take some space."
148529:15,"um, i have some spiro gyro tapes."
146710:44,"and i think it is going  to come to that because some people will just not go to the,"
88706:22,"and also, um, i do some work at u t d"
134426:48,"and, uh, we've got some plum trees and some apple trees and some tomato and some blackberries and strawberries."
65927:55,"but i'm just saying that even the differences, uh, is that, you know, some countries pay for students to go to, through college and etcetera."
11353:13,you saved me some money.
115525:57,"and i like  to read, uh, i like  to read some self help books like, uh,"
35085:21,"you know, you watch some of the cartoons,"
15755:34,"i think they may be playing up um, some aspects of the movie that  aren't the main aspects."
66757:23,"there are some, some other crimes that i think, uh, you know, uh,"
29326:35,so here lately with all the middle eastern news we've had some very interesting conversations over lunch.
158215:60,"but i, i rather imagine there's, there's some snickering about it. and a lot of the usually fatalistic, uh, here we go again folks, kind of stuff."
138929:40,"so here, i know that, uh, last year there was some ice storms while i was out of the state"
88772:47,"so, um, if you, um, unless you have some other things you want  to talk about  as having  to do with p c"
145945:125,"i guess what, the other benefits that, uh, that i, uh, that i miss , i guess is, uh, you know, some of the bonuses and stuff that that  goes on with just being involved  with a big company, you know"
56003:40,"and i can see, you know, some, some really significant things coming out of it."
2722:7,and some of the patent attorneys have been real casual in their clothes
83552:52,"takes a heck of a long time, i guess, to get there in some states."
93005:47,"maybe you saw in the paper this morning that, um, they've had some problems with, the recycling on plastic,"
155471:9,"unfortunately, some elderly have to go to or have, i guess it's  alzheimer's or where they wonder or, or, uh, confused or have some mental problem ."
27147:10,"and consequently some of the very best students were, had excellent memories"
85724:16,"um, there are some areas  though where, where they have a problem with, uh, the houses kind of sinking a little bit into the, to the, uh ,"
56656:83,"um, you don't even have  to go all the way to new orleans, you know, if you want  to really get some good food."
94976:130,"and, um, about, i guess about when the first, when the youngest one was in kindergarten  i started  working at a preschool and, uh, you know, doing some work,"
40694:58,"and he just really missed  being able  to be by himself, and having some peace and quiet"
62767:31,"but to keep her entertained, music and some of these things do help."
96775:40,"so, she is pretty much, although there were some other women in her class, she was, you know, uh, one of the minorities,"
9106:85,"do you, uh, do you think that those are bigger contributors than things like ai-, acid rain and some of the pollutants that  come from, uh, industrial areas, factories and so on."
63816:17,"and they've got some great big bins there for newspaper, um, plastic, um, i think three bins for glass, white, green, and whatev-, whatever other combination there is ."
56198:25,"and you put a bay leaf and put some, uh, red pepper over it."
149162:20,"well, i was doing some of the same stuff, but doing it more slowly, and with smaller files."
101243:85,"and let everyone have an opportunity to reach higher education if they're willing, you know,  to work and have, uh, some ability."
77906:47,"but, uh, i-, it seems that there should be some continuity,"
74032:16,"well, i got some friends that, uh,"
16415:5,"some of them, they used  to be a hundred dollars,"
100975:27,"i'm glad that there are still some areas that, that  get the youth involved  in that sort of thing."
136126:11,"there's some real weird people that, he seems  to come up with ."
36918:34,"i mean some, i think some people that  had fairly sturdy, um, vehicles or whatever if they had like a winnebago or something and they were farther in away from the water, i think they stayed."
19697:27,"it was made  to placate some of the northern support but not completely alienate all the southern support because, you know, it was, uh, if you read it, it only emancipated those who  were in areas, uh, in rebellion against the united states."
114588:104,"uh, because i, i need  to have it tuned, you know, tuned  up and i don't know, replace some of the belts."
42645:119,"i mean, there are a lot of kids who when they're ten   look like they're twelve, or fourteen or, and, and, especially some of the minority children. whether, you know a racist or not,"
108744:71,"uh, well, it, it's, it's, it really expresses some of the opinions of, of the people who  enjoy the music"
29611:17,and the other one has some weird ones that i've never heard of .
9573:19,and then i've seen some of the star trek movies.
456:25,"um, but still, it gives it some variety."
56809:31,and no one could make heads or tails out of some of them
116582:15,but we've had some pretty nice weather.
32809:15,"and i've got some radishes up,"
69408:35,"oh, there's, there's some nice things in baltimore, you know,"
81885:137,"ninety, i would say about, oh, about ninety-five percent, no i guess may-, probably a hundred percent of them all are mostly brick, uh, with some wood."
15843:18,"now we've let some people  go, uh, that wa-, we, was found that drugs were used  in  their system."
1988:12,"there are some, you know, types of heavy metal that i really like ,"
47420:60,"and i never had  to watch the news not, you know, not like some people hour and a half a day or anything."
14969:33,i guess i've had some good experience and some bad experience with them.
9501:60,"i, i think, in, in some, in some respects it probably mumblex more tolerable."
88719:5,"some of the commands just had nothing to do  with, you know, what you were supposed  to be doing  what they, what they did  on the com-, computer"
36737:8,just some of them are known
67111:45,"and some, some of the people, uh, some of the higher dollars lawyers and stuff downtown too, are picking up some of those great big houses,"
55159:38,"uh, marino makes me just crazy mad sometimes, because of some of the stupid stuff he does ,"
100820:27,"um, but i do know through some organized groups like scouts and church um, they, do still have opportunities."
11992:7,and some of the fish were supposedly making a comeback.
147083:36,"um, oh, it, there's some good things about it"
24846:25,"and, you know, there's some kids that, you know,  want  to go  learn,"
126610:15,and they just see some really tiny modest wood frame homes
62502:62,"so, we're a little fa-, you know, farther removed from like dallas and some of the areas where they probably have more of the homeless and that type of thing ."
163528:86,"so, it sounds like you, uh, you think that, that we'd be able  to save some money by, uh  passing the line item veto."
65668:54,"it's, uh, something we're really irritated about  around here. or some people are really irritated about ."
173813:37,"well, when mine were growing up , i did some traveling and but not that extensively"
62707:16,"so, well, actually some things are pretty good with that because i put it on a gold credit card"
90033:32,and i also feel that that's where some of the bad images of nursing homes come from . is when people have  to put people in a nursing homes
27864:37,i usually get to the point where i can play some of my favorite themes
50720:6,"and some people would get civilian, uh, service, like working in hospitals."
139654:36,"my folks and i always had a dog and a cat, some, birds,"
86489:22,what we did  in some of the other cities and they tell you  to do that is to hire a local guide
171199:29,well i think the court systems could stand some improvement.
46328:7,"and some of those people, they don't deserve  to be let  loose."
56053:54,"and i thought i had seen, when we were traveling around the state , some similar signs  up that  indicated that certain sections were being policed and cleaned up"
68757:42,"i, i have, i have some friends who  do expert wis-, witness testimony"
169818:78,"i mean a lot of, a lot of people as kids or, you know, young people get into some things that they get out of  later on"
80629:13,at least maybe some of these mountain bikes you could
30391:38,"we have, you know, used some of it for some personal things."
133358:40,"but i do think that we have  to cut out some of this folderol stuff and go back in the first five, six grades and just keep  going over and over and over until most of those that  are capable can at least learn  to read and write"
176346:16,"he crashed and killed some people because he was, uh, smoking some marijuana"
67949:38,"well the puppy jumped in the, into some of the pools but not into the,"
74341:4,"some ways it's rather frightening,"
24055:33,"depending upon the field, i know there are some fields which a person should go to the school, that school, all four years ,"
100784:45,"and, uh, i had opportunities in high school, to work in some programs, um"
140921:16,and i'll take some time and do that with her.
36612:7,"and some of them aren't,"
106691:93,"well, um, so to speak, i had  to paint this, uh, the inside of this warehouse thing that you keep some, um, farm equipment in"
3297:34,"that's, that's what some people call like  really heavy metal."
76211:56,"and, so, well, i thought, gee, i've been wanting  to, do some brick, uh, walkways for a time."
40951:7,and some of those other places i wouldn't have.
123714:38,"we're supposed  to have a chance to get some rain the next couple of days here, uh, which  will be, you know, a little bit more typical, uh, autumn weather."
120517:9,or do some of them play the same song.
8687:12,so she brings some money in.
149148:54,"you know, when you write a test  you have  to look at some data from it and see how the different questions are performing  and find out which ones  are discriminating well and which ones  aren't find out how reliable the test is ,"
72554:39,"i wish i had in, in some senses"
56203:18,"or you can just get some, you know, regular red peppers."
171344:39,"but i found that, uh, it was made  of some material which  actually ended up  rusting uh, after,"
42149:6,"some of these plea bargains and all this kind of stuff that they do , it's just, it just gets out of hand,"
149427:7,and some of the weirdest animals you ever want  to see  in there.
76809:59,"it 's amazing how the, you know, people you talk to  have some interesting conversations"
130776:48,"and, uh, so, you know, if there are some energy savings or if there is some significant savings, anything that they can pass  on to the consumer, you know,"
28335:95,"some of the, some of the women's roles, i think , are almost for the worse, because we're losing out on some things,  going back to work,"
119144:63,"and uh,, you know, of course i, i'm sure we have some enemies down there who  wouldn't care what  happened to us,"
145454:30,"i mean, there are sort some inherent limits there,"
120178:18,"um uh, well, some of both."
161045:13,"well, because some people, uh, want  to train them as,"
176324:16,"and i've got some very definite, uh, opinions about it . uh, you know, which  haven't changed all that much from my first reactions from, from when they, when they announced it . but, uh, developed a little more, i guess, but haven't changed that much."
132933:57,some of the cars that i got  were like the toyota camry and the nissan maxima and some of the competitors
32071:143,"and, uh, so, and, uh, so as far as, you know, planting outdoor stuff, matter of fact, tonight i just got through, i was planting some, some trees out back tonight,"
117836:27,"or uh, you know, you got some cartoons"
45071:17,and this candidate tells you some things.
144511:39,"but, uh, uh, i know that, uh, in some of these larger cities they're passing out free syringes and all of that sort of thing to prevent, you know, so that, uh, the drug addicts won't be getting dirty needles and everything."
155201:43,we're trying  to think of how to put away some savings and stuff like that
164110:55,"i think that we're going  to be, uh, owning a mini van for some years  to come."
36600:32,"and we were hoping, uh,  to do some camping in the van, um,"
158261:43,"she, she had some kind of a dispute over some orange juice with the, with the owner of the store."
19223:138,"and, you know, i even had a thought  once that the whole iraqi thing might have been just a, a deal  to go ahead and let us, uh, you know, expend some, some military hardware."
16220:4,"some people like swiss, um,"
53626:13,we're getting some flooding.
106658:65,"i had  to drive to the store with paper towels all over my hands to go  buy some paint thinner, and mumblex and everything like that,"
142965:19,"actually now you can get some really good deals  flying over,"
70200:18,"well, we could use some rain up here."
145917:27,"because i looked into  picking up some, uh, medical insurance for my, just for my family, you know, just,"
24771:51,"well, that's really too bad because it, it's giving some people unfair advantage."
158370:21,"this child was crying and needed some comfort, you know,"
139739:24,you sound like you've got some small ones in the background.
11328:16,"but i would buy some cheap wallpaper from somewhere and cover those nice boxes with the lids,"
39986:52,"they didn't have, they didn't have  to go through some tough games during the year"
72763:7,"and some of the people, uh,"
120873:46,"and of course we were close enough that we could go back and get some more blankets and things in the morning,"
101464:11,"so, in some ways i think  the, the day schools do serve those purposes."
50370:29,"i, i think some of these people that they claim  as middle eastern experts don't, don't have a clue sometimes."
77461:30,"what's, what are some other questions they have  ,"
65454:12,"does he get some royalties from that, hopefully."
1638:23,"i think there is still some discrimination there where as, you know, men and women work in the same job ,"
13469:7,"but some of them are sold ,"
159263:34,"and if, if they know some practice is wrong, you know,"
37224:9,but in some ways i think we are expected  to do it all.
160595:7,"and some of it, i mean, is,"
152067:55,"unless you, unless you have some vacation time or some, some sick leave or whatever, um, you kind of have  to finagle your way around  to get that time."
14724:29,"and he said, sign up and get some money and just talk for five minutes."
81802:32,"and it's a brick house, with, uh, some wood."
42132:18,"the same thing goes with some of these insanity pleas, you know."
32704:46,"when we had our pool done   i had them to leave some extra loam, you know, for my garden"
55947:53,"you take pride in that, and, and get some, some positive feedback from those  who  benefit, besides yourself."
103477:18,"but i know in some areas, it's really, it, it really is bad."
74537:12,so i have some rather strong opinions.
130755:109,"what, what  really works, uh, at least down here is, if there is, if there is some, e-, even some money basically to take care of the gas to recycle it  , you know what i mean , then people tend  to do it."
147237:51,"but i think, uh, we're going  to have  to make some fundamental changes"
63913:49,"and i think they're trying  to, to make some changes."
83449:21,"uh, i know in some cases now in some states, depending on the criminal code, uh, a unanimous verdict is not required ."
113277:12,"and we had some wonderful, wonderful years there under roger staubach."
55284:85,"there's probably five or six, which  would be an equivalent of our joint chiefs of staffs, that  are in positions over some of these soviet states."
169890:62,"we used  to go once a month, once every two months  to visit some of the patients there."
146950:24,"so  to be taller than some of the boys in the bigger grades, uh, older grades, i had  to wear heels."
6720:24,"really there could be, um, some scandals involved, if, you know, it wasn't people that  were really fair and le-, you know, in a legal way or something,"
134199:41,"i think it's mostly vehicles although it does come from some of the industry of, of the gary area"
71923:14,because i work some weird hours and do some traveling.
103788:26,but you know i guess to some people it 'd almost be better  to die to them than to spend life in prison or whatever
138873:64,"seems to me i remember that, uh, i was hired , came in and went through some orientation"
46965:16,"but supposedly they have some real wood built in to like the clutch and all this and the steering wheel,"
121757:84,"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."
141886:24,"you know, i mean, some topics,"
126632:62,"sometimes i wish we'd help them out instead of  going all across the world, and helping some countries i never even heard of ."
164368:12,"well, for some things."
146901:15,"because i had some appointments at the office  today, some interviews"
153747:33,"i guess, i guess some forms of guns should probably be controlled"
59652:37,and if he had an automatic weapon could he really be raising some problems.
92531:11,"there were some people at the next table who  spoke english,"
99256:22,"and you can see in some of the departments in some of the schools, like history at clark, they're all pretty fancy."
99637:89,"and i'm, you know, showing them if you're strong in math and science, kiddos, this is one area where women can make some decent money . you know."
71222:34,"to g-, to give you some perspective, this, this town that i had lived in  for sometime in nineteen eighty-three was funded  sixty-five per cent by state funds."
44033:5,"some of the home builders are,"
89480:63,"they say if you really want  to be, uh, you really want some suspense, that's the one to see ."
72128:34,"the, uh, the, some of the nautilus equipment that i started  seeing  at the one that we used  to go to  was really interesting,"
99356:32,"and, and it's not at some of the private schools,"
134420:23,we put up some hummingbird feeders and some bird feeders.
131277:37,"so, uh, it  would be kind of exciting in some ways to, to see a little bit more of that"
55219:110,"and my reasons are based  upon not only from what i read  in the newspapers, what i see  on the newspapers, but up against some of the, fun and exciting things i ran into  during my six years as a soldier in the fifth special forces group."
174196:39,"when i was, a couple of years ago, involved in some pretrial stuff  and"
31080:59,"in some of those, you know, they, i guess they retitled some movies that  were going  to be about lebanese and, and, you know, and, and americans"
121757:134,"if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts."
16054:41,"i mean, and they have, they have some serious chemicals out there you know,"
45036:13,"and you have some success and want  to go on  learning and continue  learning, uh and not wait until they're in high school"
39408:26,"and then i mix up, uh, some cream cheese and a little bit of amaretta wi-, and some cool whip,"
175669:10,"and for some of them it was just kind of, i don't know, not so much a holiday,"
16349:60,"i think the, uh, actually i think they get, um, some of them from south america."
32983:19,"mumblex and i've got some tomatoes still growing, in, in containers,"
60699:26,"and, and that has some opportunities"
3798:43,"and, uh, there's, uh, there's some petting, you know, like, uh, uh,"
113855:35,"and i don't mind, uh,  paying for some of these fringe benefits that people are entitled to ."
62647:7,in some ways it has more  to do with the people who  sold it.
29410:26,"and, and they shed some light on what  was going on for me."
51582:32,"and, um, it had been recommended  by some friends of ours"
80681:23,and i've been  buying some magazines and stuff and looking at different ways to paint .
29180:50,"then it comes down to what you said  before though about them being some of the lowest paid public, you know, public service, employees that there are ,"
44939:18,and people are finally taking some action against it.
152280:24,"i mean, you know, some people had been there a long time."
133228:13,i certainly have some ideas since i'm studying it now in college.
38919:40,"i've, i've, uh, made some small things, cross stitch things."
55078:22,in a way aikman has done some of that.
145692:12,and they took some rooms down at a holiday inn
91041:57,"but, then again, uh, well, i, you know, i have some aunts that, uh, i, i, i do ."
165687:30,"and i found that while you can find some cars that  are comfortable to ride in , uh, finding a ca-, car  anymore that 's, that 's fairly easy for me to work on , it's just not very eas-, it's not very,"
164091:22,"and it's, uh, got some nice features in terms of being able  to remove seats and flip them around"
146619:59,"and they they just didn't like participate together with the others because they had some some, uh, i guess, uh, slight mental disabilities and things like that."
76377:93,"if they have problems with, uh, sand bugs of some kind i think  all they need  to do  is probably  put some insecticide down in there on a, oh, a fairly regular basis, for a while anyway."
96882:42,"but i just would rather have, uh, a man  doing some of these jobs than a woman."
177105:58,"uh, uh, they've, uh, looked at, uh, plutonium and uranium and, uh, some other similar things  to try  to remove those from radio active waste"
29208:96,"goodness gracious, if we would, uh, plan our expressways a little better, that ten dollars for the bridges and the roads, we'd cut that in half and get some teachers"
51340:81,"you know, i kind of wish that they had inter league play, like they do in all the other sports so i could see some of the national league teams here once in a while."
171678:13,they've had some serious problems in the past couple of years.
62101:38,and just recently i've changed my job to actually do some of the marketing.
27683:75,"but the, the interesting thing is that paint we wound up  having  to go back and scrape some of that away"
155563:20,"uh, guy, uh, some of my things, i, i'd like  to have a short work week you know,"
166903:55,"matter of fact, i've heard that, i've heard that some of the information , uh, is prevented  from  reaching the jury, like, uh, mitigating circumstances or, or preceding, uh, criminal record or things of this nature that,"
49908:42,and every once in a while gets a chance to talk to some of the guys
27803:45,"uh, and i think even electric light orchestra had some, some real, um, influences by classical music"
159358:7,and some of the really nice ones that  really take care of their people are so expensive. because cause they can afford  to hire the people that  are really going to care for the older.
26735:64,"and, and that way,  handling it that way they could probably get some results out of it."
87257:107,"and they were just really coming down on him because of some of the things he was, just some of the things that he believed in , some of his morals."
71184:87,"so tho-, those are two areas in which t i stands  to, to gain some, some short term business  to restock that ."
38978:27,and i thought i better  do some simple things and work up to this because it  was just so difficult to get it done .
62192:35,"but i've, i've got some opinions on it."
155746:10,"i know some senators,"
19045:21,"and i've seen where some places have taken a plastic  and, uh, they're recycling them into other plastics. and the styrofoam also into insulation and things like that"
22657:23,we'll try  to catch some crab.
117808:33,"and, uh,  seeing as you've got some older children, i, i'm wondering, how did you handle that , when they were growing up ."
46373:50,"sometimes when you lose someone that you really love  , you do some crazy things"
134176:40,"and we'll let them try  to drink out of some of the lakes and try  to fish in some of the lakes that  have been suffering from, uh, the, uh, acid rain"
62581:54,"well, we bought a computer because my husband needed  to use it to do some work for a consulting project,"
46609:15,"and especially not in some of these big cities,"
159138:19,"and, uh, granted some people need  to be compensated  if they have really been wronged , you know."
165858:16,"some, some local communities are very active in that, uh, in that respect"
108737:78,"and, uh, a lot of it is, has a lot  to say , or some of it has a lot  to say ,"
141287:39,"there is one cousin out in colorado, uh, uh, some cousins over in phoenix, uh,"
25273:85,"well, um, oh, i guess another thing i've noticed , too, here lately is that even though we've had some pretty warm days, it's been awfully gray, you know, just,"
109067:18,"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,"
46446:10,"uh, some of those countries were so safe, it was unreal."
55919:15,"it gave some folks some jobs,"
120922:61,"but by then, of course, i was able  to catch, uh, catch some things,"
94182:13,must be some italian spices in there.
65357:5,"some of those books are real tough to get into ,"
166453:10,that's some brutal stuff there.
83497:27,"plus, i guess, there was some credit for time this guy had already spent in jail waiting for trial ."
27330:65,"i remembering  reading a few cases about that when it, when some people first tried that"
124653:71,"it's hurting, you know, it's hurting germany , for example, too, and some other parts of europe where they, where they have high industry ."
79030:34,"they have  to kind of take a stand on some things, like abortion and things like that,"
88662:24,ours really needs  to have some work done  on it
147291:12,"and they needed some quality care,"
168982:36,"and, you know, for some, for some young men, that's good."
99158:38,"but, you don't know, uh, i guess at some of the other schools you go to  unless you've been there."
60662:8,"but some of the internal news and the news services,"
174570:7,in some ways i don't like it because it's like they're playing god.
12596:58,"i mean, i'd like  to see them resolve something in that situation and get some stability in the region"
19295:81,"well, this would be like if somebody was elected  president of the united states and suddenly took off toward, you know, just some pretty hard by the socialism,"
37349:44,"i, well i see, i think  some people wanting  to stay home more and take care of the children."
90039:83,"and, uh, they brought in a very elderly man from a nursing home who  had, had, uh, apparently inhaled some chicken he was eating ."
119945:93,"and i think that certainly makes a difference from, back from the time when somebody handcrafted something  and, you know, had some pride in it ."
76200:18,"they, uh, auctioned some tools and, things like that,"
4528:7,and some of them fizzled out
109269:7,"well some schools may even give you financial aid, where another one won't ."
171919:19,"we do some cooking, some barbecueing, have a few drinks and then go in and see the game and see the patriots lose and then go home and eat, drink some more."
106619:25,"and the second one was i bought some toys at a, um, at a craft fair."
64610:17,"and they've built some new highways out to that area, and things, lately."
109067:39,"marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,"
168555:17,"like i said, some years ago, i think i would have said there's no place for capital punishment in the, civilized western country."
151108:23,"it was, yeah, in some of the critical things, like the off-, special investigations, at one time in one of the cases had videotaped this person,"
53602:9,"uh, some real massive thunderstorms."
146225:40,"so i had, i went and bought just some cloth glue and glued it all back"
148889:35,"got that, uh, uh, some insight  there,  to, to kind of help me put together the feelings."
15068:10,compared to some of the other ones.
27799:10,"chicago had some things,"
13424:44,"and in fact, some of these things i get , some of these questionnaires,"
143722:15,"but i know some people can get, get, you know, carried  away with them and let them get out of hand."
33859:9,"there some things i'd like  to try ,"
156639:7,"but some of them have already been in youth centers. and that kind of thing,"
91758:36,"and he really, this man really shed some light on, um, some, aspects of of bach's genius and, and, and, you know, the, and more sociological things, you know, like the, the idea that, um, that music, to be a musician was as much, um, of a family occupation as anything."
82295:13,"they were doing some, uh, ozone testing, and, uh, th-, the e p a"
171693:31,"and it recently was sold  to, uh, some other people"
73140:10,"and then some of them add late fees on it, if they don't get paid"
72160:27,"just to do, you know, some bicep, tricep exercises."
135551:31,"so she couldn't possibly turn them out like some of these popular writers,"
155436:87,"if my parents were  to get ill, i would like  to take care of them at home and if i had the money with some help."
31180:170,"and, uh, you know, i, i've, in hindsight, seen some things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in some ways we, as parents, had more control over what 's happening up there, you know, type thing."
90848:29,"and it was not only in mississippi, in some other places, as well,"
22932:13,now there is some really nice ones.
94526:45,"and we found that if it's in a certain part of texas, some people come,"
127169:7,"and some of these mini skirts, you know, are worse than shorts ever thought about  being."
48532:18,"once you get into some of the programs that  are out now, you can do so much  with them, that you don't do  until you really make yourself use them."
6397:25,"but there's going  to be some negatives anywhere, you know, no matter where you go ."
23861:102,"and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop some scallions and a little ginger and just cover it with some, uh, waxed paper and steam it just until the fish is done,"
10895:45,"well as, it, as i recall it got some academy awards, didn't it."
91758:53,"and he really, this man really shed some light on, um, some, aspects of of bach's genius and, and, and, you know, the, and more sociological things, you know, like the, the idea that, um, that music, to be a musician was as much, um, of a family occupation as anything."
138037:56,"i think we need  to get back to the, show some respect"
176628:53,"i i built it  two levels and with a big toy box and some benches and, uh, a backrest and all that stuff."
95400:23,"um, well, i actually do some work,  working at m i t and at nist, national institute of standards and technology in washington,"
9584:73,"when i, when i started  thinking about this , that those are some of my favorite shows,"
64564:10,they have some pretty nice weather out there in los angeles.
50235:53,"and, and, and i don't have any doubt that through some back channels that we encouraged it. you know."
142141:14,"i have got some of those too,"
37283:73,"but, uh, even now, i would, i would like  to not have  to work in some ways."
43642:11,what are some other ones i've seen  lately .
77358:19,"and, um, did some shopping and stuff."
108972:69,"and it consisted of, of grilled kielbasa sausage uh, a potato salad with olive oil, and uh, some tomatoes that  had been chopped  up with onions and curry powder"
164404:48,"but, then, you know, i think that, that some murderers don't really warrant capital punishment. you know, just, like, for example, uh, you know, you hear about cases where women have killed their husbands who  abused them"
100571:7,"and some of them, i think  unconsciously do it, you know, as a just, you know, half seni-,"
94747:14,there have been some really wild shows put on there.
146612:75,"well, it is like, wel-, the one that i worked in , uh, you would see some of them just like in wheelchairs all day,"
55919:10,"it gave some folks some jobs,"
8930:19,"so, those things they take some time to make ."
147582:28,"and it 's just too bad that some people, you know, still look down on them just because of their color. you know."
92716:8,"just some of the times they're continued ,"
104230:49,"it's kind of haunting, you know, on, on some of the notes."
115742:25,"i, i do some things."
96261:16,and i can take some real great tours to europe.
118309:83,"that's, y-, count your blessings because uh, it really is good when someone can do some things to a car themselves ."
83449:32,"uh, i know in some cases now in some states, depending on the criminal code, uh, a unanimous verdict is not required ."
2767:14,"i've done some of the other speech programs,"
134101:49,"uh, the state of wisconsin, as a matter of fact, uh, started some litigation against illinois because of the air pollution we were getting ."
81929:47,"an, and while, while there are some advantages to that, there's less time spent outside making it look nice and taking care of things."
149485:72,"and especially in this election year, i think that, uh, there ought  to be so-, at least some conversation about what we are supposed  to do  about this."
13411:17,"and that is that some of the organizations sell their mailing lists which i think  is a, is an invasion of privacy."
110398:27,"i found when i did do some work  when my son was young , it was like contract work,"
32577:41,"next year i was planting some broccoli and, and some of those, they're called  cabbage,  cabbage loppers, or whatever."
83198:48,"if you don't refute it, as he didn't, there must be some truth to the matter, see."
74301:11,"i see some flickers of, of, uh, of good directions turning,"
9608:21,he took a car battery and some wire and two washers one time and made a welder.
160993:10,"there are some smart ones out there,"
140815:71,"you know, maybe you nee-, you can get it signed  up this spring or summer for some of the dog obedience classes."
31489:41,"on the other hand, um, i think there's certainly some professions that  ought  to be tested  because of the, of their responsibility for the public welfare, and certainly people in, uh, industries, well, the transportation industry, for spe-, uh, you know, specifically."
43407:11,i know some friends who  went  to see it.
161619:23,i'd like  to do some sailing.
121023:37,"saint augustine, uh with a little bermuda mixed in in some of the sunny areas"
113475:14,"we drive by some houses  everyday that  have big signs,"
31254:36,and i would imagine their learning disabilities are quite large in some cases.
108975:9,and probably some yogurt was in there.
74324:8,"and, some people just don't have it."
171296:110,"but, the thing is too, maybe they need more of a, i don't know, more of a expert types to, to be on some of these jury cases because most time you just pick, you know, joe blow or whoever and a good citizen or whoever an-, and call them in."
129004:16,"but, did they have some pretty good special effects."
55311:27,"but on a highly populated area, like some of the soviet cities would be, with the weaponry that 's attached  on those things, there is no place to hide ."
136180:24,"i mean, we still have some highways closed ,"
31917:13,"and we made some really nice christmas wreaths with, uh, dried red flowers and dried white flowers and, uh, eucalyptus."
73173:67,"so, they've got quite a bit more motivation i think  to get paid  then, some of the others do."
142828:81,"and i think you're probably right, that they, that they need some, you know, some changes in, uh, pitching coach, maybe"
19999:14,"um, well, some history, books are pretty scary,"
99236:8,"because some of the teachers i know  wear, uh, dress up jeans, not sloppy looking jeans but tapered jeans that they've had  dry cleaned  so they have got the crease"
14637:17,"and then they're some sections kind of in the corner areas,"
49551:24,"and it had some, some nice features."
16318:47,"and they, they mumblex they go  melt some chocolate chips,."
80333:17,"you know, how some older women will get the big bulge right in the middle ."
90230:11,"he had some accomplices that  were kind of suspect,"
156650:7,"and some of them are our problems,"
7285:11,i made some afghans and that kind of stuff.
136539:14,"i mean, some nights it's just real, real quiet."
115490:21,"and even like reading some new age things, things that i don't quite believe in ,"
67466:21,they want  to put some equipment on their bike and go for a tour.
73538:38,"i think that might be part of the problem with some people. you know,"
80218:50,"and i, when i'd gotten back  i had gotten some sun that day,"
89180:32,"i, i was involved in some, uh, oh, alumnae recruiting, uh, here in town, uh, recently, uh, well last year."
6607:30,"because from what i understand , from some of the guys i know , you know, crime, uh, is punishable, just almost, uh, instantly and public,"
2180:39,"so we have, both of us have some money in an i r a that we're also trying  to figure ,"
138349:36,"but i kind of, i liked it some ways"
57069:61,"and, uh, he makes a very, uh, passionate, good argument for why you don't want some things decided  by democratic process ,"
167037:72,"uh, but, if that's the case, if the business is responsible for  policing themselves, then i think some well defined mechanisms need  to be in place so that, uh, the opportunity f-, to forget that you owe sales tax for something, uh, can be avoided ."
